id	value
189	-0.043478261
190	-0.042450593
191	-0.041501976
192	-0.039525692
193	-0.038537549
194	-0.038498024
195	-0.038023715
196	-0.037509881
197	-0.036521739
198	-0.035573123
199	-0.034545455
200	-0.033557312
201	-0.031620553
202	-0.030632411
203	-0.030592885
204	-0.029644269
205	-0.027667984
206	-0.026679842
207	-0.026640316
208	-0.0256917
209	-0.023715415
210	-0.022727273
211	-0.022687747
212	-0.02173913
213	-0.019762846
214	-0.018735178
215	-0.015810277
216	-0.014822134
217	-0.014782609
218	-0.013833992
219	-0.011857708
220	-0.010869565
221	-0.01083004
222	-0.009881423
223	-0.007905138
224	-0.006916996
225	-0.005928854
226	-0.003952569
227	-0.002964427
228	-0.002924901
229	-0.001976285
230	0
231	0.000988142
232	0.001976285
233	0.002766798
234	0.003952569
235	0.004901186
236	0.005889328
237	0.007905138
238	0.008893281
239	0.009841897
240	0.011857708
241	0.012806324
242	0.013320158
243	0.013794466
244	0.015810277
245	0.016758893
246	0.016798419
247	0.017747036
248	0.019762846
249	0.020711462
250	0.020750988
251	0.021699605
252	0.023715415
253	0.024664032
254	0.025652174
255	0.027667984
256	0.028616601
257	0.029604743
258	0.031620553
259	0.032094862
260	0.03256917
261	0.033557312
262	0.035533597
263	0.035573123
264	0.037509881
265	0.039525692
266	0.040474308
267	0.041501976
268	0.043478261
269	0.044466403
270	0.04743083
271	0.047905138
272	0.049407115
273	0.051383399
274	0.052371542
275	0.053320158
276	0.053359684
277	0.055335968
278	0.056284585
279	0.056324111
280	0.057312253
281	0.059288538
282	0.060237154
283	0.06027668
284	0.061264822
285	0.063241107
286	0.064189723
287	0.065217391
288	0.067193676
289	0.068142292
290	0.068181818
291	0.06916996
292	0.071146245
293	0.072094862
294	0.072134387
295	0.07312253
296	0.075098814
297	0.077075099
298	0.079051383
299	0.080039526
300	0.081027668
301	0.083003953
302	0.083952569
303	0.084940711
304	0.084980237
305	0.085454545
306	0.086916996
307	0.086956522
308	0.087905138
309	0.088932806
310	0.090909091
311	0.092885375
312	0.093873518
313	0.09486166
314	0.095810277
315	0.096837945
316	0.098814229
317	0.099802372
318	0.100790514
319	0.102766798
320	0.103715415
321	0.104743083
322	0.106719368
323	0.107667984
324	0.10770751
325	0.108695652
326	0.109683794
327	0.110671937
328	0.111620553
329	0.111660079
330	0.112648221
331	0.114624506
332	0.115573123
333	0.116600791
334	0.118063241
335	0.118577075
336	0.119525692
337	0.12055336
338	0.122529644
339	0.124505929
340	0.126482213
341	0.12743083
342	0.127470356
343	0.130434783
344	0.131422925
345	0.132411067
346	0.134387352
347	0.135335968
348	0.136363636
349	0.138339921
350	0.139328063
351	0.140316206
352	0.14229249
353	0.143241107
354	0.146245059
355	0.147193676
356	0.147233202
357	0.150197628
358	0.151146245
